admin0,AAD,PMD_10,PMD_25,PMD_50,PMD_100,scenario,year
ECU,617.199,1245.359,3587.089,8529.858,17858.223,optimistic,2100
ECU,996.047,4027.676,6971.571,9272.668,12896.317,pessimistic,2100
EGY,803.593,337.041,1810.555,20281.332,29184.021,current,2020
EGY,7892.156,37238.361,55871.98,62955.926,67432.197,optimistic,2050
EGY,8168.954,41395.512,54586.867,60415.092,63762.622,pessimistic,2050
EGY,8364.925,39551.473,60073.889,65656.495,69369.252,optimistic,2100
EGY,11495.972,64539.813,70516.291,73399.838,75334.185,pessimistic,2100
ERI,11252.707,0,16441.414,308589.713,442325.616,current,2020
ERI,18738.288,31034.841,153131.67,277590.501,395772.734,optimistic,2050
ERI,36625.613,117946.893,290997.272,401725.967,515651.301,pessimistic,2050
ERI,25238.431,60550.809,196431.798,342690.695,447226.463,optimistic,2100
ERI,84904.73,392274.517,592938.612,706117.688,783737.974,pessimistic,2100
ESH,0,0,0,0,0,current,2020
ESH,0,0,0,0,0,optimistic,2050
ESH,0,0,0,0,0,pessimistic,2050
ESH,0,0,0,0,0,optimistic,2100
ESH,0,0,0,0,0,pessimistic,2100
ESP,102.461,0,75.887,2876.21,4190.152,current,2020
ESP,910.694,3870.568,6653.501,8186.796,9376.112,optimistic,2050
ESP,1313.242,6091.922,9292.737,10819.623,11594.757,pessimistic,2050
ESP,727.199,2674.519,5662.219,7343.325,8639.15,optimistic,2100
ESP,1892.637,10574.485,11795.198,12068.102,12201.862,pessimistic,2100
EST,4.918,0,6.039,136.327,194.961,current,2020
EST,2.911,0,10.162,52.026,146.363,optimistic,2050
EST,1.124,0,0.209,16.216,79.154,pessimistic,2050
EST,0.87,0,0.202,9.622,66.946,optimistic,2100
EST,2.786,0,3.545,56.879,150.619,pessimistic,2100
ETH,393310.086,769836.595,1434993.558,7530372.741,10831922.97,current,2020
ETH,1007000.117,3430153.199,7680283.8,10923779.78,13829784.98,optimistic,2050
ETH,1298020.664,5183741.1,9517678.858,12475666.45,14942607.07,pessimistic,2050
ETH,1165506.651,4334577.382,8627016.613,11959586.02,14777652.77,optimistic,2100
ETH,1983349.44,8997219.578,13867322,16871135.14,19151189.92,pessimistic,2100
FIN,227.35,0,273.133,6191.102,9260.274,current,2020
FIN,129.586,6.337,818.743,2575.119,4470.045,optimistic,2050
FIN,7.615,0,5.4,64.145,611.642,pessimistic,2050
FIN,52.642,0.685,72.478,834.042,3299.349,optimistic,2100
FIN,12.553,0,21.967,235.475,696.441,pessimistic,2100
FJI,12.006,0.468,23.35,320.374,461.801,current,2020
FJI,36.873,12.112,344.271,653.069,882.938,optimistic,2050
FJI,8.634,0.997,39.161,192.596,311.59,pessimistic,2050
FJI,17.41,4.491,137.243,319.808,507.554,optimistic,2100
FJI,16.399,5.436,157.876,265.165,423.687,pessimistic,2100
FRA,225.489,0,181.738,6342.574,9136.838,current,2020
FRA,868.78,1827.898,7746.314,11616.395,14380.987,optimistic,2050
FRA,718.328,1335.907,5969.869,10381.257,13831.784,pessimistic,2050
FRA,781.068,1240.526,7271.179,11208.169,14200.526,optimistic,2100
FRA,2086.014,8964.283,15190.41,18621.347,20954.231,pessimistic,2100
GAB,524.195,0,435.486,14727.108,21223.314,current,2020
GAB,137.275,2.446,371.181,2251.876,7714.563,optimistic,2050
GAB,183.668,1.567,396.087,2660.821,11445.154,pessimistic,2050
GAB,298.382,4.335,1059.749,4836.974,15881.954,optimistic,2100
GAB,424.295,132.495,2696.653,6338.044,17641.897,pessimistic,2100
GBR,20.466,0,15.88,575.181,832.694,current,2020
GBR,23.837,0.853,151.074,493.108,784.612,optimistic,2050
GBR,15.465,0.04,83.92,308.826,592.802,pessimistic,2050
GBR,16.058,1.006,70.689,345.598,621.815,optimistic,2100
GBR,45.936,51.883,400.198,716.521,1040.897,pessimistic,2100
GEO,70.03,75.627,192.401,1590.379,2296.385,current,2020
GEO,29.623,11.914,101.74,544.607,1346.943,optimistic,2050
GEO,144.511,113.446,1169.099,2539.631,3560.965,pessimistic,2050
GEO,57.12,41.359,319.962,1038.612,1941.354,optimistic,2100
GEO,276.182,516.154,2502.795,3792.863,4859.761,pessimistic,2100
GHA,16131.868,16947.862,43866.77,367132.541,533976.034,current,2020
GHA,84159.135,303491.539,654273.21,869917.139,1024070.988,optimistic,2050
GHA,75904.053,272788.558,574750.95,795885.866,971744.209,pessimistic,2050
GHA,69902.921,227992.547,547911.591,779658.95,959402.385,optimistic,2100
GHA,147916.078,680980.611,1057816.656,1216648.042,1317238.997,pessimistic,2100
GIN,52181.324,133060.497,198065.17,896830.278,1301606.219,current,2020
GIN,53243.408,129294.279,351164.797,718687.866,1189363.091,optimistic,2050
GIN,53172.924,121025.123,370098.219,747724.726,1131198.831,pessimistic,2050
GIN,35454.879,94470.021,223284.04,419224.01,869203.552,optimistic,2100
GIN,146142.902,368853.441,1236708.283,1843436.379,2292049.894,pessimistic,2100
GMB,4871.955,10003.94,19822.955,89738.706,128386.893,current,2020
GMB,13465.33,27064.607,123171.781,179113.691,224972.422,optimistic,2050
GMB,11721.439,23127.059,105238.715,159890.637,200137.18,pessimistic,2050
GMB,8761.176,17047.121,65407.695,133578.458,176858.705,optimistic,2100
GMB,42449.079,207861.932,300829.143,319695.476,323581.101,pessimistic,2100
GNB,8298.944,19644.061,37167.277,141355.961,202072.789,current,2020
GNB,15851.793,27496.795,130117.196,236425.655,316891.277,optimistic,2050
GNB,11509.751,22651.181,89106.09,167026.245,233986.463,pessimistic,2050
GNB,7500.341,16483.652,43604.831,111045.694,188686.849,optimistic,2100
GNB,41343.935,176422.225,304025.834,372899.388,408269.108,pessimistic,2100
GNQ,1800.149,0,1385.146,50613.761,73246.813,current,2020
GNQ,486.859,0,386.264,11958.866,23223.078,optimistic,2050
GNQ,34.969,0,8.054,455.395,2553.859,pessimistic,2050
GNQ,249.731,0,53.982,2360.572,20036.058,optimistic,2100
GNQ,608.249,0,951.949,9087.578,38841.969,pessimistic,2100
GRC,23.669,0,18.79,663.796,964.128,current,2020
GRC,70.924,113.262,626.609,1048.435,1356.512,optimistic,2050
GRC,89.656,206.5,773.95,1176.322,1452.146,pessimistic,2050
GRC,81.341,164.43,715.921,1108.528,1409.066,optimistic,2100
GRC,241.966,1100.284,1716.521,2037.563,2252.527,pessimistic,2100
GTM,28702.534,56987.586,97060.687,555125.383,801883.992,current,2020
GTM,64353.447,181142.73,485831.547,790843.502,1098904.223,optimistic,2050
GTM,64353.034,181141.085,485828.586,790838.489,1098901.242,pessimistic,2050
GTM,123023.289,459838.436,927322.325,1252148.858,1490357.541,optimistic,2100
GTM,123022.64,459835.216,927318.631,1252143.388,1490350.569,pessimistic,2100
GUY,4.928,0,3.671,138.658,200.754,current,2020
GUY,40.072,172.693,282.567,361.92,426.15,optimistic,2050
GUY,31.635,129.527,237.381,294.672,329.372,pessimistic,2050
GUY,40.804,171.696,290.647,377.539,445.733,optimistic,2100
GUY,43.161,197.452,301.711,363.755,407.247,pessimistic,2100
HND,11044.652,22520.339,37870.273,211431.645,304917.401,current,2020
HND,4831.881,10143.326,26863.91,47862.629,178573.928,optimistic,2050
HND,4831.928,10143.236,26863.786,47866.348,178572.582,pessimistic,2050
HND,10721.591,16930.634,66293.347,174080.228,289518.906,optimistic,2100
HND,10721.519,16930.472,66292.699,174079.324,289517.748,pessimistic,2100
HRV,6.367,0,4.62,177.228,263.811,current,2020
HRV,8.375,0.188,47.441,184.003,277.816,optimistic,2050
HRV,2.376,0.185,9.053,37.79,123.971,pessimistic,2050
HRV,6.095,0.231,25.409,135.965,233.629,optimistic,2100
HRV,39.583,139.62,312.364,410.555,491.526,pessimistic,2100
HTI,38576.449,111816.438,156423.951,610977.814,891829.041,current,2020
HTI,121573.954,382750.668,995942.393,1351146.202,1643826.775,optimistic,2050
HTI,104686.162,316119.662,832885.65,1220997.335,1533882.335,pessimistic,2050
HTI,103604.398,308713.337,822784.808,1228875.791,1524415.574,optimistic,2100
HTI,287425.461,1423084.721,1967528.644,2175933.091,2289718.169,pessimistic,2100
HUN,162.204,0,194.628,4490.523,6460.852,current,2020
HUN,273.043,3.107,1735.503,5878.054,8575.097,optimistic,2050
HUN,59.81,0.538,132.182,1051.091,3344.755,pessimistic,2050
HUN,249.939,6.918,1436.445,5658.424,7862.142,optimistic,2100
HUN,916.201,2671.279,7843.001,10428.411,12678.461,pessimistic,2100
IDN,413.455,0,335.732,11567.5,16867.556,current,2020
IDN,2117.2,7762.498,16208.587,21629.66,26001.398,optimistic,2050
IDN,2537.589,9742.05,19220.096,25072.013,29313.992,pessimistic,2050
IDN,2164.892,7991.828,16511.608,22061.861,26400.737,optimistic,2100
IDN,4299.695,20747.945,29477.136,33831.888,36917.72,pessimistic,2100
IND,2664.672,0,2363.219,74637.033,107740.263,current,2020
IND,1904.732,942.511,11460.068,34267.018,66673.731,optimistic,2050
IND,2264.054,2760.189,16661.145,36354.324,59450.326,pessimistic,2050
IND,1934.863,2644.703,13816.992,29639.793,52491.763,optimistic,2100
IND,4453.057,11295.791,30715.022,58444.732,92598.226,pessimistic,2100
IRL,27.386,0,22.91,767.818,1111.364,current,2020
IRL,71.042,2.144,676.525,1297.871,1780.949,optimistic,2050
IRL,36.001,0.831,203.155,790.451,1198.264,pessimistic,2050
IRL,43.964,0.261,324.56,890.918,1313.742,optimistic,2100
IRL,73.422,29.988,724.626,1249.201,1645.402,pessimistic,2100
IRN,9848.349,13054.379,28895.59,213374.95,311958.835,current,2020
IRN,55461.662,208345.942,426051.447,554566.063,649368.831,optimistic,2050
IRN,76475.197,352451.984,537746.792,633838.526,704335.596,pessimistic,2050
IRN,70403.131,300212.838,512734.657,634675.419,717895.289,optimistic,2100
IRN,116227.017,610514.408,761494.571,814779.395,842020.594,pessimistic,2100
IRQ,24978.897,0,18928.893,693660.617,1034852.884,current,2020
IRQ,203753.295,824636.166,1532938.036,1906533.166,2184149.33,optimistic,2050
IRQ,268757.933,1262994.309,1859250.873,2189171.158,2430504.38,pessimistic,2050
IRQ,257911.606,1146621.616,1859703.873,2206931.87,2472265.23,optimistic,2100
IRQ,409563.988,2179000.828,2657658.323,2817918.408,2899920.449,pessimistic,2100
