admin0,GID_1,AAD,PMD_2,PMD_5,PMD_10,PMD_25,PMD:50,PMD_100,PMD_250,PMD_500,PMD_1000,scenario,year
MWI,MWI.17_1,1066.212404,448.3484421,2330.578194,3253.017545,3727.858843,4156.351714,4638.507946,4871.374669,4961.759568,5186.882317,current,2020
MWI,MWI.18_1,146.2866276,20.75849585,256.9861225,503.8059607,691.0725439,827.3131773,875.7103078,956.9132155,1067.149669,1106.129558,current,2020
MWI,MWI.19_1,6584.249206,854.0723438,19879.51213,24468.4519,26351.29176,26815.70341,27162.54714,27603.19184,27872.23535,29080.40657,current,2020
MWI,MWI.2_1,517.3619237,0,1269.807508,1845.258481,2854.378439,3087.296993,3263.898144,3388.692743,3445.580562,3570.21576,current,2020
MWI,MWI.20_1,5452.156272,3147.765055,10063.97786,13390.11772,18783.04521,20841.30817,22099.70718,24182.08894,24922.80685,25168.71306,current,2020
MWI,MWI.21_1,3592.214569,218.9827794,7642.963455,12190.32159,16169.49636,18235.12613,20574.32878,21512.19596,23110.27567,24707.70764,current,2020
MWI,MWI.22_1,1370.582034,3.964161776,3763.778244,3842.772357,4069.14453,4301.865388,26158.03539,45249.02793,47002.8884,50767.06268,current,2020
MWI,MWI.23_1,109.1534713,0,251.0539319,439.2973089,578.4013855,603.1592659,625.3744976,653.0667481,673.4881647,691.746821,current,2020
MWI,MWI.24_1,684.7669223,1.096121064,959.5149832,2738.371062,4963.427274,6981.82373,8122.840493,8966.241511,9169.609269,9209.858207,current,2020
MWI,MWI.25_1,4265.811099,811.9683537,10797.19165,10925.29851,12982.40802,17234.12496,17922.38813,18980.61301,19885.15648,20156.58796,current,2020
MWI,MWI.26_1,7024.71991,1480.249424,16190.02091,20659.13264,31053.86815,34707.02152,37631.83391,41688.02532,43130.50144,43925.22885,current,2020
MWI,MWI.27_1,108.8315947,3.330451823,222.8023519,436.689163,554.0908971,653.251088,708.9590922,832.2178088,908.308595,922.3725025,current,2020
MWI,MWI.28_1,921.9561839,10.35023712,2640.334355,3280.574729,3984.583752,4201.419422,4337.473566,4436.189228,4516.720468,4557.752577,current,2020
MWI,MWI.3_1,2053.619643,126.7778465,2863.706819,5967.779716,14007.95682,19952.42334,23095.89259,26522.22333,28508.56149,33402.69431,current,2020
MWI,MWI.4_1,28.65966251,0,92.23251285,114.8572908,168.6135823,185.9123786,195.0166098,206.0932748,215.2658886,215.266926,current,2020
MWI,MWI.5_1,69.58164952,0,140.8146856,279.719405,367.4677306,417.5373227,435.1321418,483.5480905,630.3315985,642.6929178,current,2020
MWI,MWI.6_1,2056.27996,310.356849,4632.266647,6772.857667,7743.090687,8558.832335,8961.44134,9544.005482,9935.07401,10568.66666,current,2020
MWI,MWI.7_1,1194.611699,0,3095.384383,4876.583732,6636.328128,6875.007413,7027.744944,7308.88054,7450.708606,7835.490872,current,2020
MWI,MWI.8_1,3543.911095,420.4645982,5569.005259,12038.54855,17779.91992,24168.23936,31118.02254,37787.48683,39864.21803,41755.23235,current,2020
MWI,MWI.9_1,891.6764508,200.0320973,1597.850428,2913.205592,4880.526369,5311.949307,5531.652735,5717.896542,5856.272118,6141.748726,current,2020
MYS,MYS.1_1,1896.926725,0,775.2112708,2009.666519,25952.13978,32341.35002,34626.42424,38129.3488,41871.88667,46936.28685,current,2020
MYS,MYS.10_1,9.116257422,0,0,0,0,0,747.1534538,825.3018701,889.8923057,962.5222334,current,2020
MYS,MYS.11_1,16.03409521,0,0,0,0,0,0,2045.688735,3777.75451,4064.24724,current,2020
MYS,MYS.12_1,7.301450391,0,0,0,0,0,0,1172.405908,1254.971048,1502.731422,current,2020
MYS,MYS.13_1,3495.019988,2013.578277,6119.206897,8394.092271,12281.38334,15800.07666,19743.63339,22862.82683,27182.58664,29096.40567,current,2020
MYS,MYS.14_1,11439.70751,5619.815365,17185.45218,29803.27953,37833.82196,61877.61872,83172.12494,91445.2318,97352.17735,102109.1402,current,2020
MYS,MYS.15_1,167.2757618,0,0,28.49381386,720.3105927,2067.31362,4010.138449,16681.82688,16681.82688,16681.82688,current,2020
MYS,MYS.16_1,4255.716823,7.949503601,12215.63144,12995.74002,26502.31141,32223.9705,43244.80047,52529.32745,64424.69982,72565.77949,current,2020
MYS,MYS.2_1,2718.543198,392.0596501,4969.076884,6176.085564,9544.815706,12347.29879,15988.3158,55244.43085,64471.19903,69944.02294,current,2020
MYS,MYS.3_1,7712.02418,2491.912205,14810.14525,18444.13296,25670.13264,53233.41524,64427.86027,74961.69088,88433.44638,110964.0401,current,2020
MYS,MYS.4_1,0,0,0,0,0,0,0,0,0,0,current,2020
MYS,MYS.5_1,0,0,0,0,0,0,0,0,0,0,current,2020
MYS,MYS.6_1,274.8892343,0,0,0,0,410.4503399,15641.7434,21660.36957,23180.09513,24186.66707,current,2020
MYS,MYS.7_1,51.39849593,0,18.54770533,34.62804308,274.1585084,683.969414,1593.656312,1944.806349,2120.184421,2198.140388,current,2020
MYS,MYS.8_1,4097.317959,970.0827379,7179.873708,10574.32554,22285.46495,29395.15763,33979.74928,42282.79236,44831.90912,52395.63493,current,2020
MYS,MYS.9_1,892.6151536,94.99688627,487.1602393,1282.009858,4840.974025,12334.39228,19903.51467,23602.92432,25271.08665,26258.67505,current,2020
NAM,NAM.1_1,125.096902,27.54108971,263.930528,314.4959042,498.2112803,619.653815,691.9638969,746.8869921,772.0066243,829.8022297,current,2020
NAM,NAM.10_1,4.555712659,0.648951331,4.339246384,10.09590331,17.34684236,49.41925172,66.19428367,96.25273903,149.8450281,162.4349504,current,2020
NAM,NAM.11_1,27.70026986,17.25401816,22.71890866,26.53912792,31.26659907,34.72560596,37.57385581,40.38253546,41.08852053,45.51235541,current,2020
