Period,Scenario,AAD,RP_10,RP_25,RP_50,RP_100,RP_250,iso3
2100,ssp585,25.636839247965085,0.0,0.0,0.0,0.0,0.0,LCA
hist,ERA-5,0.0,0.0,0.0,0.0,0.0,0.0,MSR
2050,ssp245,0.0,0.0,0.0,0.0,0.0,0.0,MSR
2100,ssp245,0.0,0.0,0.0,0.0,0.0,0.0,MSR
2050,ssp370,0.0,0.0,0.0,0.0,0.0,0.0,MSR
2100,ssp370,0.0,0.0,0.0,0.0,0.0,0.0,MSR
2050,ssp585,0.0,0.0,0.0,0.0,0.0,0.0,MSR
2100,ssp585,0.0,0.0,0.0,0.0,0.0,0.0,MSR
hist,ERA-5,0.0,0.0,0.0,0.0,0.0,0.0,DEU
2050,ssp245,0.0,0.0,0.0,0.0,0.0,0.0,DEU
2100,ssp245,0.0,0.0,0.0,0.0,0.0,0.0,DEU
2050,ssp370,0.0,0.0,0.0,0.0,0.0,0.0,DEU
2100,ssp370,0.0,0.0,0.0,0.0,0.0,0.0,DEU
2050,ssp585,0.0,0.0,0.0,0.0,0.0,0.0,DEU
2100,ssp585,0.0,0.0,0.0,0.0,0.0,0.0,DEU
hist,ERA-5,161.12761781401133,0.0,0.0,0.0,0.0,0.0,PRI
2050,ssp245,1817.3217331737544,0.0,0.0,0.0,0.0,0.0,PRI
2100,ssp245,160.4721500227764,0.0,0.0,0.0,0.0,0.0,PRI
2050,ssp370,161.58579417719636,0.0,0.0,0.0,0.0,0.0,PRI
2100,ssp370,161.12761781401133,0.0,0.0,0.0,0.0,0.0,PRI
2050,ssp585,161.12761781401133,0.0,0.0,0.0,0.0,0.0,PRI
2100,ssp585,160.4721500227764,0.0,0.0,0.0,0.0,0.0,PRI
hist,ERA-5,67.15237797365022,0.0,0.0,0.0,0.0,35.56637816576503,FJI
2050,ssp245,275.1478127575175,0.0,0.0,0.0,723.0812969591195,22029.19106332818,FJI
2100,ssp245,802.796795110604,0.0,0.0,0.0,4718.968830160771,40371.09803001152,FJI
2050,ssp370,1630.8935826624695,0.0,0.0,329.4091486957764,18161.69017792972,110302.2251575538,FJI
2100,ssp370,2034.386144723114,0.0,0.0,1345.5291255393606,32111.320918199835,150892.52118078512,FJI
2050,ssp585,406.1221393886231,0.0,0.0,2245.3909759504454,0.0,15319.47674404073,FJI
