admin0,scenario,year,AAD,PMD_1,PMD_10,PMD_25,PMD_50,PMD_100,PMD_250,PMD_1000
CHE,pessimistic,2050.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CHE,pessimistic,2100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CHL,current,2020.0,473.54160039,368.98446916,381.32305426000005,453.85749816000003,829.2188794840001,1280.641782284,3464.6624250100003,5021.0807586109995
CHL,medium,2050.0,646.0155782040001,368.98446916,751.122739724,1366.2555962840001,3482.5812183700004,4925.1522506109995,5588.073407911,6013.170699626
CHL,medium,2100.0,4692.983278091,3630.2930261250003,6019.452005423001,6064.958245263,6147.761286442999,6204.069653443,6364.249058957,7693.803479927
CHL,optimistic,2050.0,625.3313962750001,368.98446916,586.2408217239999,1291.890519284,3430.00081237,4925.1522506109995,5548.963628511,5999.830888910999
CHL,optimistic,2100.0,1559.4574707949998,587.906765824,5225.945152271,5942.759826626,6020.072843626001,6035.243539423001,6062.660026693001,6241.264153263999
CHL,pessimistic,2050.0,761.364480637,368.98446916,948.075106624,3399.4783013700003,4060.4854246110003,5194.854234511,5602.3021109109995,6025.909472626
CHL,pessimistic,2100.0,7294.199383151001,6107.419021123001,6357.388728029001,6603.546548927,7005.903026357,8800.374215626998,11658.337233057,12144.475339501001
CHN,current,2020.0,393383.12738927105,261804.7928717,474680.8699102,609671.6393210001,1014141.53933503,1304885.1511890201,1990370.67052855,18430216.9475666
CHN,medium,2050.0,495412.59847858,333574.73633762996,579768.30227214,716056.50565099,1175527.50978299,1486059.29975755,3070016.2012148798,24567563.648971997
CHN,medium,2100.0,953929.0657617999,570988.26602533,1129956.2046896,1383615.6405786,2270344.2473345,5863854.282368001,18029988.177868,38435173.071710005
CHN,optimistic,2050.0,488066.21858147805,329906.0679596,568510.83070214,702896.94171899,1156212.02080599,1474118.97080055,2805546.49326488,24105573.71477
CHN,optimistic,2100.0,719033.9731469599,463924.67941598996,743294.03097428,1202715.3317228798,1465206.80506488,2965941.5668708,10093900.914106,33332121.980719
CHN,pessimistic,2050.0,515632.7894913,342235.13908704004,611515.8161311101,755261.1226699899,1215485.95717399,1546548.43159855,4057715.1716166004,26029559.740721002
CHN,pessimistic,2100.0,1545918.260392,787280.4686536001,1550889.7758601,3829470.9877319997,7883598.646921,12159999.261024002,30113986.913714,50642061.41857399
CIV,current,2020.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CIV,medium,2050.0,1425.4209409300001,1146.3203425170002,1577.10901347,1590.9746487700004,1626.77929777,1626.77929777,1626.77929777,2440.2149026700004
CIV,medium,2100.0,4312.63612,3596.5750057,4015.9271634999996,4192.5373785,4192.5373785,4192.5373785,4198.156234700001,4198.156234700001
