admin0,AAD,PMD2,PMD5,PMD10,PMD25,PMD50,PMD_100,PMD250,PMD500,PMD1000,scenario,year
LUX,117.1793097,0,0,0,788.4256942,1882.596332,3610.878656,5081.893813,5914.100071,6862.424349,current,2020
LVA,1465.100695,688.4179182,1822.338741,3455.871017,5915.523923,7517.23429,9435.215235,13769.73097,26448.27136,36366.14007,current,2020
MAR,10457.17094,4743.565087,11458.68832,16224.89707,21445.93193,29158.5883,34309.56614,41843.51069,43483.94734,45854.08633,current,2020
MDA,2248.238637,1306.732216,3301.900936,6155.038006,8465.065463,9723.875424,10855.44687,12352.15381,12896.42863,12964.34339,current,2020
MDG,265848.0256,169127.4266,294328.6772,361257.3102,547764.053,776430.53,834715.4794,908713.1698,965837.5445,997315.6182,current,2020
MEX,34150.84973,19793.86362,30541.29427,39328.98965,58349.29724,87782.15745,140381.9143,507595.4012,807496.4428,826671.1142,current,2020
MKD,228.7374749,78.55556427,221.9110901,468.5420573,1372.733747,2146.323974,2406.032252,2788.874211,3214.31924,3672.440108,current,2020
MLI,244442.1816,64225.95967,307923.5925,566966.5237,668310.7511,720111.9384,748646.5013,774026.7351,792289.444,808182.2976,current,2020
MMR,553489.0753,366210.0971,587191.0865,720237.5236,833606.621,893933.7243,953007.0313,1000313.562,1057903.523,1073705.735,current,2020
MNE,299.7530109,176.6756425,358.4060449,666.3248495,1051.854036,2069.873725,2775.423948,3381.060144,3818.866321,4275.990734,current,2020
MNG,112.06,52.56,152.84,240.84,388.28,465.42,554.13,655,752.05,852.31,current,2020
MOZ,133196.5866,82388.16714,145994.868,224915.026,261850.2272,281412.2772,310861.3572,429181.2859,461035.8571,483864.182,current,2020
MRT,17168.29755,8054.000862,29350.69266,37206.9959,45002.43248,49458.5277,55909.7984,61771.67674,63219.5037,65362.88089,current,2020
MWI,53379.98513,36595.7107,57069.87991,66810.17845,102001.3647,120244.7248,134133.9436,157929.2803,177160.1109,178103.733,current,2020
MYS,37033.88683,23991.36678,38883.09412,54783.2516,91022.03578,121964.022,153684.6131,184822.4315,203611.9917,227527.8195,current,2020
NAM,2333.07359,407.7163567,4602.873522,6338.381776,8054.728752,8782.146753,9366.356456,9831.471443,10456.2578,11441.17024,current,2020
NER,85962.8994,24110.20872,171307.0275,242130.465,285674.014,306667.3027,362801.0802,450591.5678,488003.9315,512853.2545,current,2020
NGA,543037.9271,295716.2177,577792.6465,840495.7848,1229646.313,1501429.567,1610655.077,1786452.144,1923970.662,1995162.549,current,2020
NIC,10514.02608,4790.171294,12177.02482,18725.95945,26077.18529,28063.98879,29927.46502,31590.57384,33149.20381,55637.37914,current,2020
