admin0,scenario,year,AAD,PMD_10,PMD_25,PMD_50,PMD_100,PMD_250
CPV,optimistic,2050,0.0,0.0,0.0,0.0,0.0,0.0
CPV,optimistic,2100,0.0,0.0,0.0,0.0,0.0,0.0
CPV,pessimistic,2050,0.0,0.0,0.0,0.0,0.0,0.0
CPV,pessimistic,2100,0.0,0.0,0.0,0.0,0.0,0.0
CRI,current,2020,,,,,,
CRI,medium,2050,,,,,,
CRI,medium,2100,,,,,,
CRI,optimistic,2050,,,,,,
CRI,optimistic,2100,,,,,,
CRI,pessimistic,2050,,,,,,
CRI,pessimistic,2100,,,,,,
CUB,current,2020.0,894.9722205522653,0.0,0.0,0.0,5.023397767983119,64116.28005635566
CUB,medium,2050,1037.359379064298,0.0,0.0,0.0,2788.586408312119,83881.24858342556
CUB,medium,2100,1273.4806233367815,0.0,0.0,0.0,5.023397767983119,89171.25314616557
CUB,optimistic,2050,1008.339305640263,0.0,0.0,0.0,5.023397767983119,64798.36922590149
CUB,optimistic,2100,1204.5449539894266,0.0,0.0,0.0,5.966793356033013,101418.02195540923
CUB,pessimistic,2050,1088.156464566926,0.0,0.0,46.191863745763655,4791.77407593823,142546.02460689365
CUB,pessimistic,2100,895.3132775447579,0.0,0.0,0.0,5.023397767983119,64116.28005635566
CUW,current,2020.0,0.0,0.0,0.0,0.0,0.0,0.0
CUW,medium,2050,0.0,0.0,0.0,0.0,0.0,0.0
CUW,medium,2100,0.0,0.0,0.0,0.0,0.0,0.0
CUW,optimistic,2050,0.0,0.0,0.0,0.0,0.0,0.0
CUW,optimistic,2100,0.0,0.0,0.0,0.0,0.0,0.0
CUW,pessimistic,2050,0.0,0.0,0.0,0.0,0.0,0.0
CUW,pessimistic,2100,0.0,0.0,0.0,0.0,0.0,0.0
CYM,current,2020.0,63.58881927362799,0.0,0.0,0.0,0.0,0.0
CYM,medium,2050,63.58881927362799,0.0,0.0,0.0,0.0,0.0
CYM,medium,2100,64.02227854482557,0.0,0.0,0.0,0.0,0.0
CYM,optimistic,2050,63.58881927362799,0.0,0.0,0.0,0.0,0.0
CYM,optimistic,2100,63.789119840628,0.0,0.0,0.0,0.0,0.0
CYM,pessimistic,2050,63.58881927362799,0.0,0.0,0.0,0.0,0.0
CYM,pessimistic,2100,63.58881927362799,0.0,0.0,0.0,0.0,0.0
CYP,current,2020,,,,,,
CYP,medium,2050,,,,,,
CYP,medium,2100,,,,,,
CYP,optimistic,2050,,,,,,
CYP,optimistic,2100,,,,,,
CYP,pessimistic,2050,,,,,,
CYP,pessimistic,2100,,,,,,
CZE,current,2020,,,,,,
CZE,medium,2050,,,,,,
CZE,medium,2100,,,,,,
CZE,optimistic,2050,,,,,,
CZE,optimistic,2100,,,,,,
CZE,pessimistic,2050,,,,,,
CZE,pessimistic,2100,,,,,,
DEU,current,2020.0,0.0,0.0,0.0,0.0,0.0,0.0
DEU,medium,2050,0.0,0.0,0.0,0.0,0.0,0.0
DEU,medium,2100,0.0,0.0,0.0,0.0,0.0,0.0
DEU,optimistic,2050,0.0,0.0,0.0,0.0,0.0,0.0
DEU,optimistic,2100,0.0,0.0,0.0,0.0,0.0,0.0
DEU,pessimistic,2050,0.0,0.0,0.0,0.0,0.0,0.0
DEU,pessimistic,2100,0.0,0.0,0.0,0.0,0.0,0.0
DJI,current,2020,,,,,,
DJI,medium,2050,,,,,,
DJI,medium,2100,,,,,,
DJI,optimistic,2050,,,,,,
DJI,optimistic,2100,,,,,,
DJI,pessimistic,2050,,,,,,
DJI,pessimistic,2100,,,,,,
DMA,current,2020.0,12.988735989518911,0.0,0.0,0.0,0.0,0.0
DMA,medium,2050,12.988735989518911,0.0,0.0,0.0,0.0,0.0
DMA,medium,2100,12.988735989518911,0.0,0.0,0.0,0.0,0.0
DMA,optimistic,2050,12.988735989518911,0.0,0.0,0.0,0.0,0.0
DMA,optimistic,2100,12.988735989518911,0.0,0.0,0.0,0.0,0.0
DMA,pessimistic,2050,12.988735989518911,0.0,0.0,0.0,0.0,0.0
DMA,pessimistic,2100,12.988735989518911,0.0,0.0,0.0,0.0,0.0
DNK,current,2020,,,,,,
DNK,medium,2050,,,,,,
DNK,medium,2100,,,,,,
DNK,optimistic,2050,,,,,,
DNK,optimistic,2100,,,,,,
DNK,pessimistic,2050,,,,,,
DNK,pessimistic,2100,,,,,,
DOM,current,2020,,,,,,
DOM,medium,2050,,,,,,
DOM,medium,2100,,,,,,
DOM,optimistic,2050,,,,,,
DOM,optimistic,2100,,,,,,
DOM,pessimistic,2050,,,,,,
DOM,pessimistic,2100,,,,,,
DZA,current,2020,,,,,,
DZA,medium,2050,,,,,,
DZA,medium,2100,,,,,,
DZA,optimistic,2050,,,,,,
DZA,optimistic,2100,,,,,,
DZA,pessimistic,2050,,,,,,
DZA,pessimistic,2100,,,,,,
ECU,current,2020,,,,,,
ECU,medium,2050,,,,,,
ECU,medium,2100,,,,,,
ECU,optimistic,2050,,,,,,
ECU,optimistic,2100,,,,,,
ECU,pessimistic,2050,,,,,,
ECU,pessimistic,2100,,,,,,
EGY,current,2020.0,0.0,0.0,0.0,0.0,0.0,0.0
EGY,medium,2050,0.0,0.0,0.0,0.0,0.0,0.0
EGY,medium,2100,0.0,0.0,0.0,0.0,0.0,0.0
