time_horizon,scenario,GID_1,AAD_low,RP_10_low,RP_25_low,RP_50_low,RP_100_low,RP_250_low,AAD_medium,RP_10_medium,RP_25_medium,RP_50_medium,RP_100_medium,RP_250_medium,AAD_high,RP_10_high,RP_25_high,RP_50_high,RP_100_high,RP_250_high
2050,optimistic,USA.50_1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2100,optimistic,USA.50_1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hist,current,USA.51_1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2050,optimistic,USA.51_1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2100,optimistic,USA.51_1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2050,medium,USA.1_1,4409.957189,5681.974032,18895.84251,14800.69877,52855.40357,135270.5078,1713.296199,0,10745.89256,16157.14565,13782.85874,52816.50464,1206.568666,0,5368.716779,22916.1004,17984.53613,22718.04455
2100,medium,USA.1_1,7752.506504,18555.96938,20287.45342,32197.68755,104175.4219,367321.8078,4282.466275,6990.38855,30365.17395,14961.64842,30798.37707,91339.75043,2259.765671,87.53775235,28475.68146,26521.97105,17443.02728,46158.66579
2050,medium,USA.2_1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2100,medium,USA.2_1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2050,medium,USA.3_1,55.43874075,0,0,0,23.0635368,2588.867542,9.293850092,0,0,0,0,0,2.120627001,0,0,0,0,0
2100,medium,USA.3_1,50.57639596,0,0,0,23.0635368,2588.867542,8.378888216,0,0,0,0,0,1.97634529,0,0,0,0,0
2050,medium,USA.4_1,32.75951737,0,0,0,0,735.0714881,3.500619688,0,0,0,0,0,0,0,0,0,0,0
2100,medium,USA.4_1,34.31836184,0,0,0,0,1336.282357,1.972238731,0,0,0,0,0.084456383,0.001338093,0,0,0,0,0
2050,medium,USA.5_1,29.77087065,0,0,0,0,370.3138943,10.30974287,0,0,0,0,0,1.950514787,0,0,0,0,0
2100,medium,USA.5_1,168.0251743,0,0,0,0,12925.03687,10.30974287,0,0,0,0,0,1.950514787,0,0,0,0,0
2050,medium,USA.6_1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2100,medium,USA.6_1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2050,medium,USA.7_1,190.4999243,0,0,0,4493.028492,47977.16476,52.41735531,0,0,0,0,649.7333221,6.36907297,0,0,0,0,0
2100,medium,USA.7_1,1097.066171,0,0,1021.815895,44560.07648,114779.9924,642.8998438,0,0,0,19585.85999,56287.73031,481.0571288,0,0,0,774.5450857,28786.48361
2050,medium,USA.8_1,138.5644947,0,0,0,2914.857309,8246.782616,74.33190743,0,0,0,0,1648.793907,31.77045025,0,0,0,0,795.1411656
2100,medium,USA.8_1,300.2400908,0,0,3526.07305,8652.055478,29668.73849,158.6761465,0,0,0,1703.769443,15022.76648,68.32837642,0,0,0,6.279201092,5902.976584
2050,medium,USA.9_1,70.46663424,0,0,0,0,0,25.32786484,0,0,0,0,0,0,0,0,0,0,0
2100,medium,USA.9_1,147.9527251,0,0,0,0,17931.30504,100.3820119,0,0,0,0,0,0,0,0,0,0,0
2050,medium,USA.10_1,114083.4555,263290.647,615849.0042,1232185.145,1547658.814,1997310.411,55253.15837,139503.9972,320647.6525,500314.1195,650002.6325,688691.162,33493.80291,120595.1585,209445.3947,383571.8566,440616.2392,589010.9674
2100,medium,USA.10_1,270028.3413,328603.3316,1681183.524,2897884.949,4476408.779,5303414.644,129460.453,194474.4908,366180.1677,882160.0419,2022026.092,4446015.463,67316.78573,159534.0342,231472.9265,436984.9407,694062.7451,1519325.886
2050,medium,USA.11_1,4658.223312,7672.007595,12386.01125,31082.82979,63121.24886,181953.6084,1913.534461,1602.521957,11820.68352,12263.2622,27262.51614,47968.63233,1081.128095,0,9769.103513,5161.93562,17161.29188,37299.31206
2100,medium,USA.11_1,4618.640274,7906.745307,20270.66645,53259.81392,87334.18321,89490.30766,1367.904816,553.8615421,8020.770201,17150.11469,46667.50439,63892.04071,694.2026909,0,1409.15084,7633.09708,20842.15243,41525.50977
2050,medium,USA.12_1,877.7428777,0,2681.864792,5967.257652,13191.57549,40645.2898,497.5586272,0,1451.125045,3318.068232,13529.56428,29808.5862,157.9432208,0,0,5133.725397,2655.41673,6956.804819
2100,medium,USA.12_1,5007.839104,10729.56404,71194.34433,57392.63311,66441.14481,85018.39141,2798.312507,3950.73033,17384.31703,76826.09916,40168.77255,36938.34353,1725.983625,74.47052297,7483.612185,19558.81651,70028.52781,53428.29796
2050,medium,USA.13_1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2100,medium,USA.13_1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
